Label,PaymasterName,PaymasterAddress,EntryPoint,Chain,FromBlock,ToBlock,BlockNumber,TxHash,UserOpHash,Sender,ActualGasUsed,APNTS_Cost,XPNTS_Cost,CreditType,FilterNotes
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147786359,0xf37f38e00f5a4a98b09abf3c45d6cf1247343f77cbd93e318a50c43a8b8a8f88,0xaa4c7fb53b225626ca75a6b608a2d880b25de5f5c42ab03b4326f165a88f8f87,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286057,11267595740467834131,11267595740467834131,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147786363,0xee98e3b4b0206945881798f7ceda92c2cab497c9c6c51b51f6c394d9bb6057de,0x3fa911b2681fac46cc85780704883ac712f3c1ab38de90cf357d82197ee292f3,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286057,11267595965818742072,11267595965818742072,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147786368,0x19dd8084e45053b476e8a871448743013821166387f18875a13664428564bd29,0x080b12b93c37aedd3b2090a48003f9b2369dbb5e6c43d55483b8e6956b01daef,0xe8eaad6a4802300f33e53c40e65863cccda6898b,287761,11635853486366530862,11635853486366530862,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147786831,0x7ef37777a6c9d8a47112f0a5b7c91a1a2d2cb4a1978cb209b9344d4a2b1abafd,0x30c73a4a1ffc2bd5461e7c691251f540a3fdac471ea0a6d7dfa135dd02e28e89,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,11267602613670526347,11267602613670526347,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147786833,0x4d9a7d9fea0016e6fb122e534c529cfde58b5c2ca2c00a715218ca25a5f2bd63,0xa3cb77d11aef7103c64c88ba35f0fcd2dced3fe762588d4b59138dc3649bdafb,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286057,11267602636205617141,11267602636205617141,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147786837,0x077b4e9f361230234306c7dd407f4cfe12115d1de979f49cf0c04ce03f72c0d5,0x8d94cda9818691b848a76e3acb7d93b9b0ac24b2aaa9b3d78850e054230d1f98,0xe8eaad6a4802300f33e53c40e65863cccda6898b,287732,11635860072229822871,11635860072229822871,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147786901,0xdfc54c80d2bac8a49aca92185569210b571ebb4eff9cbbcd5bdeac60a29960e8,0x7166f9d0b31b398fb8e6151f3252bcda0a6736e6e495930a2a895c20d1e818c3,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,11267605137600695292,11267605137600695292,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147786904,0x8ed91b34be9832180ee1df4f8023d2f5950d433f72c04447f49832557e0e8a65,0xa84f13cd0d381229f95bf8b5bc9f855e90bc2ed27ee47a896a94b469ffec063f,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,11267605227741058468,11267605227741058468,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147786908,0xe976fe05c26644c2bc48f8edecf4ac915e270fd3e78efc22c7ff445ad7fe2d4a,0xd7eaf7120a179ee14d0c79b374e64bf1b9f988ae447330430c8d1730b61eb6d1,0xe8eaad6a4802300f33e53c40e65863cccda6898b,287732,11635862771735624543,11635862771735624543,credit,strict disabled
OP_MAINNET_SUPER_SIMPLE_ANY,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,146000000,147800000,147787128,0xac4c240dde2d1a3fc4dfc429b9688e1497fe32b9579dac17cfb6fa049943e9aa,0x901c7dea56a228b265d899a8555d5593774c3fd35f970954169103d514d61f2c,0xe8eaad6a4802300f33e53c40e65863cccda6898b,286086,11267613746005378657,11267613746005378657,credit,strict disabled
