Label,PaymasterName,PaymasterAddress,EntryPoint,Chain,FromBlock,ToBlock,BlockNumber,TxHash,UserOpHash,ActualGasUsed,FilterNotes
OP_MAINNET_V4_SIMPLE_ERC20,PaymasterV4,0x67a70a578E142b950987081e7016906ae4F56Df4,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,145864449,147866994,147741373,0x562c8cc0fc79c96c9f19cca51cfc1fa1ffdebf63842856dd0ead4110865934fe,0xc7e0d3f1e9d3f7a58902aa2a9deda30c246e80596b511d3b5e8370b70d2ccb36,271092,execute->ERC20 transfer
OP_MAINNET_V4_SIMPLE_ERC20,PaymasterV4,0x67a70a578E142b950987081e7016906ae4F56Df4,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,145864449,147866994,147741380,0x7ed1199ca9f20fb76e7a1877ecfc4baa50d97988be31cdd1fccdcce21bed86d7,0xd26328521c15b9ee0e3d9094dcbe3ac1987d2cd99e6c511516bc0d36b35cdcf7,271092,execute->ERC20 transfer
OP_MAINNET_V4_SIMPLE_ERC20,PaymasterV4,0x67a70a578E142b950987081e7016906ae4F56Df4,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,145864449,147866994,147741390,0x8bce7367bf6591064ce3f151f927924ac050f2b84ae25f8cec5055ae63629dd3,0x005556bd0254393a968dac9957556ad9fdad5124efdf3934953e75dcd93de366,271092,execute->ERC20 transfer
OP_MAINNET_V4_SIMPLE_ERC20,PaymasterV4,0x67a70a578E142b950987081e7016906ae4F56Df4,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,145864449,147866994,147741398,0xf12f968266abd10607908238bdf3e06c5e5e378a8b29fd20be5284cdffe2bab1,0x26c0c8b93d4f2c50ddbafcf14ad2a91bc33b20e7503345041b7c68f4851aa206,271092,execute->ERC20 transfer
OP_MAINNET_V4_SIMPLE_ERC20,PaymasterV4,0x67a70a578E142b950987081e7016906ae4F56Df4,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,145864449,147866994,147741406,0x195e115999c510564b224124e0e5a441f8150f74543ea12fa08482cc3232a49d,0x225f8ebbf68dbf2e9c3978bb8583a326c823e9926295984d8a4aa0d327b36411,271092,execute->ERC20 transfer
OP_MAINNET_V4_SIMPLE_ERC20,PaymasterV4,0x67a70a578E142b950987081e7016906ae4F56Df4,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,145864449,147866994,147741416,0x133307e9aafd6763a6f4230042a8aa47d9c6e977f66b6c142ee102ce4286ed07,0xcdcf2dc55b37fa149c94233a8ee55ce10db6eee5eebc98777c317dc831539868,271092,execute->ERC20 transfer
OP_MAINNET_V4_SIMPLE_ERC20,PaymasterV4,0x67a70a578E142b950987081e7016906ae4F56Df4,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,145864449,147866994,147741423,0x99ad226d212395deb04221953cb839a91677cf4152b3363688ab9f99b87e4feb,0x31eff7dfa7adcd6943a5bdf8596e8a69a3464b61f78ffb6227b28f39b81064e6,271092,execute->ERC20 transfer
OP_MAINNET_V4_SIMPLE_ERC20,PaymasterV4,0x67a70a578E142b950987081e7016906ae4F56Df4,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,145864449,147866994,147741431,0x44ff49bd29fb0f500195934b84202d98408391847193e70fb39f6d391228b14a,0x4b584d1dae8aa54fc42563fe64dca172975318285d6adfbd8635d678cd50e47f,271092,execute->ERC20 transfer
OP_MAINNET_V4_SIMPLE_ERC20,PaymasterV4,0x67a70a578E142b950987081e7016906ae4F56Df4,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,145864449,147866994,147741475,0x83da6c58e9af0f452546175e413e995059827abbe8b29e818c9089b665cb272e,0x6ce911763bf74bde6e753e6ca10a3cf54fc29fcf103c57b365ca65b4634f1ca3,271092,execute->ERC20 transfer
OP_MAINNET_V4_SIMPLE_ERC20,PaymasterV4,0x67a70a578E142b950987081e7016906ae4F56Df4,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,145864449,147866994,147741485,0xca4533f8bc76a2e137d97e75d33b2bf85a5a061bb83f2f21ff43a502a53aefa5,0x6720f8df108e0bcf13184aa53f9dbdb1e02b7584c7e9e8dffa8d4bb8402d93ea,271092,execute->ERC20 transfer
