Run ID,Group,Gas Used,Effective Gas Price (wei),Total Cost (wei),Latency (ms),Status,Transaction Hash,Timestamp
1,EOA,21000,1000008,21000168000,5226,Success,0x18859608f9d9c29735fcb27188da8b124af7460c0b71a18b20ff04bcc78edc80,2026-01-01T04:03:58.291Z
1,EOA,21000,1000008,21000168000,5226,Success,0x18859608f9d9c29735fcb27188da8b124af7460c0b71a18b20ff04bcc78edc80,2026-01-01T04:03:58.291Z
2,EOA,21000,1000008,21000168000,9119,Success,0xebe6120732d57c345888ec09ffd71c50a6c0f8fbe023dd3fea94bd846d19be89,2026-01-01T04:04:11.389Z
1,EOA,21000,1000008,21000168000,5226,Success,0x18859608f9d9c29735fcb27188da8b124af7460c0b71a18b20ff04bcc78edc80,2026-01-01T04:03:58.291Z
2,EOA,21000,1000008,21000168000,9119,Success,0xebe6120732d57c345888ec09ffd71c50a6c0f8fbe023dd3fea94bd846d19be89,2026-01-01T04:04:11.389Z
3,EOA,21000,1000008,21000168000,9000,Success,0x30978dbf5d7b7ae400e9508e55d4c348d8a93b8d7d038e6dbaafdd64f3be75ee,2026-01-01T04:04:23.638Z
