Label,TokenName,TokenAddress,Chain,FromBlock,ToBlock,BlockNumber,TxHash,From,To,GasUsed,EffectiveGasPriceWei,L2FeeWei,L1FeeWei,BlobFeeWei,TotalFeeWei
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223309,151223508,151223351,0xeb0081705e0ad377c832d45c23782bb449152b3be56e491056fceb55de134d5a,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0x0b2c639c533813f4aa9d7837caf62653d097ff85,45577,1803,82175331,2529476021,0,2611651352
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223209,151223508,151223302,0x83fb49dd94bc51f7a200a869f39346302e129cc4843777c5659ef107356da156,0xbdc32f01644fe6b67b5a4e474190bcf2c6a1355a,0x0b2c639c533813f4aa9d7837caf62653d097ff85,45071,10000346,450725594566,1837347463,0,452562942029
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223209,151223508,151223295,0xf84396ebff1da085f1f7f9728e02651032c31420a66e2244dc0fb2cfd987a9b0,0x647b6b6a2202b93e0491ab617eb170771f5f7705,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40235,1000345,40248881075,1925268217,0,42174149292
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223209,151223508,151223295,0x43df0fac2f53b349710cbd494825ae1e75df68fa1493b70b0069bbb66cbf598b,0x4ce6a1e952433d92d8f476315de0c72a5bf2e17c,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40235,1000345,40248881075,1925268217,0,42174149292
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223209,151223508,151223290,0xef0bb11e2560ebf2099f9fe710a7c1307e006a5433b61d83ca348cc16c23e52a,0xd474fd5000529bb85cb4f79f1ff55941f3f2e17c,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40235,1000345,40248881075,1925268217,0,42174149292
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223209,151223508,151223286,0x003c69ed4183913defa900b3ea5673c309e52f8ef6c600de8ff33be1d408cfac,0x19aaa7f9df6ddad42581b8c3e5ef43b3b39315f4,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40235,1000346,40248921310,1854302458,0,42103223768
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223209,151223508,151223286,0x84583b705a0b3f8cc0219bffc0a7eca01786cb767970e5a85cae950e20231f66,0x7c6ca5454b43118b3b600b681aef64b2960217de,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40235,1000346,40248921310,1854302458,0,42103223768
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223209,151223508,151223286,0xa8952fd48566d072cf57d932e2952631eafd862505d5b408bba3ddd60d46ba88,0x6506fc3f9a6ed863cdcc3f57974dd8755c2e656c,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40247,1000346,40260925462,1854302458,0,42115227920
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223209,151223508,151223286,0xb58bfbd304ae8c0bbf597f7b0f6ee742c9f0e3100187cc24c74177dc2b98912c,0xe47c56cf2d91b6ff6dea629d846b14d180902976,0x0b2c639c533813f4aa9d7837caf62653d097ff85,40235,1000346,40248921310,1854302458,0,42103223768
A_EOA,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,op-mainnet,151223109,151223508,151223188,0x2c5847506bfb5ae1d238992cad4b673f70660a3ac4e993d099b6cae039484aa2,0xf6b3422e3cc70fa9fce4fab9a706ed2497c7bb9e,0x0b2c639c533813f4aa9d7837caf62653d097ff85,45059,5000346,225310590414,1560359290,0,226870949704
