network,mode,idx,userOpHash,txHash,blockNumber,gasUsed,effectiveGasPriceWei,baseFeePerGasWei,totalFeeWei,cachedEthUsdPrice,cachedUpdatedAt,operator,senderAA,token,userTokenBalanceDelta,xpntsToken,debtBefore,debtAfter,debtDelta
op-sepolia,paymasterv4,1,0x3b7c98bcbe2cedf0f81156dbff9bf3f81871a54194ff3afa5326bbe484c061a2,0xdaf6afef956ef51c848202f2bbccc7209dcd96174a74af9309d743bdc2f63274,39496702,151994,100250,250,15237398500,195509570212,1770795336,0xb5600060e6de5E11D3636731964218E53caadf0E,0xECD9C07f648B09CFb78906302822Ec52Ab87dd70,0x3BBcA92Ad828b3dD619c980Ba09f929b9d2BC440,-1000000000000,0x0000000000000000000000000000000000000000,0,0,0
op-sepolia,superpaymaster,1,0x3c207bb710f4a17eb73a30b63b178e1d8be4ebb10e11b123f34f59786a80978e,0x8620d2c6d7ec8474da2865658dac91d4c6a3232dcf32eb355c1e5322797c4a49,39496705,167835,100250,250,16825458750,195509570212,1770795336,0xEcAACb915f7D92e9916f449F7ad42BD0408733c9,0xBC7626E94a215F6614d1B6aFA740787A2E50aaA4,0x1Ee6142b4934CB6732dD211F929411132B2ABB5B,-1000000000000,0x1Ee6142b4934CB6732dD211F929411132B2ABB5B,360595858914280233749,371558521006189100740,10962662091908866991
