Label,PaymasterName,PaymasterAddress,EntryPoint,Chain,FromBlock,ToBlock,BlockNumber,TxHash,UserOpHash,ActualGasUsed,TxGasUsed,PreVerificationGas,APNTS_Cost,XPNTS_Cost,CreditType,FilterNotes
OP_MAINNET_SUPER_T2.1_NORMAL,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147786363,0xee98e3b4b0206945881798f7ceda92c2cab497c9c6c51b51f6c394d9bb6057de,0x3fa911b2681fac46cc85780704883ac712f3c1ab38de90cf357d82197ee292f3,286057,167827,100000,11267595965818742072,11267595965818742072,credit,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_T2.1_NORMAL,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147786833,0x4d9a7d9fea0016e6fb122e534c529cfde58b5c2ca2c00a715218ca25a5f2bd63,0xa3cb77d11aef7103c64c88ba35f0fcd2dced3fe762588d4b59138dc3649bdafb,286057,167827,100000,11267602636205617141,11267602636205617141,credit,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_T2.1_NORMAL,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147786904,0x8ed91b34be9832180ee1df4f8023d2f5950d433f72c04447f49832557e0e8a65,0xa84f13cd0d381229f95bf8b5bc9f855e90bc2ed27ee47a896a94b469ffec063f,286086,167835,100000,11267605227741058468,11267605227741058468,credit,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_T2.1_NORMAL,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147787131,0x943a45432dd23c84fde59db0e7633e4fcf7a149221b6a55ce9d9909aee4118e7,0x1e0ed56a417c08ac0a5a59d33fe0428d0c5414880609238384448a2082976452,286057,167827,100000,11267613903751014216,11267613903751014216,credit,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_T2.1_NORMAL,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147787241,0x83c17ca590f5c0ce6673a3575825cf9fbceb2ed56dc988e4f2350d7a2301d199,0xf1e3f6c63dc97cb32ef9e3b2c4d6eaabce711a420a9bb864402bdad3d1291867,286086,167859,100000,11267617171339179368,11267617171339179368,credit,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_T2.1_NORMAL,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147945481,0xdfa4874db6f0ca4e833087c2a9d0b5e5613aa67bc02a4eb422dc7ab7f2a0ffa7,0x7302e607aac1b00bfde808f73c7ba02c73750c8cdbbc510991add59c46152a17,244101,167855,57983,21166638864180524,21166638864180524,credit,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_T2.1_NORMAL,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,147988779,0x7fcadac5a12cc58617426533ae5ad887eddb4812f3c7b3624148cdacb1cf0f13,0xc4960ad672473d4001399516eecc17cda7f3fff5b273f6c369efc01dbfe15092,244101,167855,57983,21875355673447568,21875355673447568,credit,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_T2.1_NORMAL,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,148044785,0x41dbb4cbb7a77a525a0b2855b5bfc550c6dfce6f89ae6c8fc3fa3a893fe24802,0x4efcdc2b3d2dee6914f3822b62b14e253cc0b87412da3f1e60677d32c99c28e3,244101,167867,57983,21271599570362596,21271599570362596,credit,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_T2.1_NORMAL,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,148044839,0x13e00ca5a73bfd50a8aa44b909e9014f5e83eb2d152e772636277593ef15ca0b,0xf4fd20907e9e35b08d3f1a06cb8d8b3d00db7d2b8b4ebb29467c25f05ad02bfa,244101,167855,57983,21271298721859824,21271298721859824,credit,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_T2.1_NORMAL,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,148044923,0x68822fd165c3a2f35b47246136cc23d58c5416910a9923166b28fa5f9f97671f,0xeeeede890f963c8ddf82d4e029521b614ec4eed2bf2b8501dccf04b601905094,244101,167867,57983,21270697024854278,21270697024854278,credit,single-UserOp bundle; execute->ERC20 transfer
OP_MAINNET_SUPER_T2.1_NORMAL,SuperPaymaster,0xA2c9A6e95f19f5D2a364CBCbB5f0b32B1B4d140E,0x0000000071727De22E5E9d8BAf0edAc6f37da032,optimism,0,0,148044943,0x60ca7325f4ade02f322a3fbe2341e73a4a0ce407025f6b96990f22ba5a0b4812,0x42d0d34d0012eecd4a003ab99832c6e4d7cab0e7bb1cb67f2884c3498f588b2e,244101,167867,57983,21270679327883527,21270679327883527,credit,single-UserOp bundle; execute->ERC20 transfer
